Orientation,Parent,Fluor,PWM,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,Q-value,status,gain-loss,fluorescence_change
top,gen_185,GFP,MraZ,0.0002201103881047,"[4, 12]",682,3666,1.0,1.0,0.00033016558215705,True,loss,0.0
top,gen_185,GFP,NarL,1.889570678175941e-08,"[12, 29]",1079,3269,1.0,1.0,7.227225855341402e-08,True,loss,0.0
bottom,gen_185,RFP,GadX,4.593431662038774e-05,"[78, 100]",1474,2874,1.0,1.0,8.667658947384335e-05,True,loss,0.0
bottom,gen_185,GFP,Fis,3.5467809764132683e-06,"[73, 90]",1042,3306,1.0,1.0,8.923550009805723e-06,True,loss,0.0
bottom,gen_185,GFP,GadX,2.8362509842722074e-09,"[78, 100]",1474,2874,1.0,1.0,1.1907219368882434e-08,True,loss,0.0
bottom,gen_185,GFP,IHF,2.399942051619936e-09,"[80, 94]",1293,3055,1.0,1.0,1.0196160991762544e-08,True,loss,0.0
bottom,gen_185,GFP,PutA,6.868395632609016e-11,"[46, 52]",4268,80,1.0,1.167881311816762,3.431779367138096e-10,True,gain,0.1678813118167619
top,gen_139,GFP,ArgP,2.897506884329036e-06,"[23, 42]",2064,12,1.0,1.2662538699690402,7.355209783296784e-06,True,gain,0.2662538699690402
top,gen_139,GFP,CpxR,0.0013407103867446,"[14, 34]",410,1666,1.0,1.0,0.0013550342156628116,True,loss,0.0
top,gen_139,GFP,CsgD,3.706712571545017e-06,"[21, 35]",2066,10,1.0,1.861842105263158,9.309425024818371e-06,True,gain,0.861842105263158
top,gen_139,GFP,Nac,0.0004158393799118,"[13, 30]",715,1361,1.0,1.0,0.0005573904357514132,True,loss,0.0
top,gen_139,RFP,Nac,0.0006399847934834,"[13, 30]",715,1361,1.0,1.0,0.0007730807724922415,True,loss,0.0
bottom,gen_139,GFP,CsgD,0.0002477680389987,"[95, 109]",2063,13,1.0,1.0191082802547768,0.0003643345568281402,True,gain,0.0191082802547768
top,gen_7,RFP,OxyR,0.0011849304995299,"[9, 29]",4415,15,1.0,1.0,0.0012297986145708639,True,gain,0.0
bottom,gen_8,RFP,IclR,0.0006493135374706,"[86, 102]",610,1723,1.0,1.0,0.0007828172554552094,True,loss,0.0
top,gen_150,GFP,AsnC,0.0006714495735026,"[13, 30]",2127,12,1.0,1.0055555555555555,0.0008049053911113465,True,gain,0.0055555555555555
top,gen_150,RFP,MraZ,0.0006159964030609,"[33, 41]",2127,12,1.0,1.024590163934426,0.0007541836893385825,True,gain,0.0245901639344259
bottom,gen_113,RFP,Dan,0.0004096048751343,"[35, 46]",1156,43,1.0,1.0,0.0005514509656694228,True,gain,0.0
top,gen_113,RFP,CytR,6.71594776597341e-10,"[146, 169]",1189,10,1.0,3.177570093457944,3.0062870283647534e-09,True,gain,2.177570093457944
bottom,gen_113,GFP,GadX,4.6173034142322094e-05,"[132, 154]",1184,15,1.0,1.0,8.70113352562484e-05,True,gain,0.0
